ID;CLASE DE RIESGO;Nº de Expedientes;Indemnizaciones;%;Costes Medios
59 ;Oficinas; 12   ; 172,344   ; 0.8   ; 14,362   
59 ;Comercios ; 483   ; 11,378,771   ; 51.1   ; 23,559   
59 ;Industriales; 25   ; 1,911,201   ; 8.6   ; 76,448   
59 ;Vehículos Automóviles; 198   ; 609,275   ; 2.7   ; 3,077   
59 ;Obras Civiles; 8   ; 5,205,681   ; 23.5   ; 650,710   
60 ;Viviendas y Comunidades de Viviendas; 14,715   ; 18,677,411   ; 70.9   ; 1,269   
60 ;Oficinas; 55   ; 138,410   ; 0.5   ; 2,517   
60 ;Comercios ; 597   ; 1,882,745   ; 7.2   ; 3,154   
60 ;Industriales; 679   ; 4,987,673   ; 19.0   ; 7,346   
60 ;Vehículos Automóviles; 438   ; 570,927   ; 2.2   ; 1,303   
60 ;Obras Civiles; 6   ; 59,854   ; 0.2   ; 9,976   
61 ;Viviendas y Comunidades de Viviendas; 2,300   ; 18,176,685   ; 68.9   ; 7,903   
61 ;Oficinas; 8   ; 52,115   ; 0.2   ; 6,514   
61 ;Comercios ; 159   ; 6,694,658   ; 25.4   ; 42,105   
61 ;Industriales; 37   ; 845,531   ; 3.2   ; 22,852   
61 ;Vehículos Automóviles; 60   ; 163,730   ; 0.6   ; 2,729   
61 ;Obras Civiles; 3   ; 457,252   ; 1.7   ; 152,417   
62 ;Viviendas y Comunidades de Viviendas; 7,342   ; 41,182,773   ; 52.1   ; 5,609   
62 ;Oficinas; 84   ; 498,730   ; 0.6   ; 5,937   
62 ;Comercios ; 1,429   ; 23,133,066   ; 29.4   ; 16,188   
62 ;Industriales; 103   ; 2,135,980   ; 2.7   ; 20,738   
62 ;Vehículos Automóviles; 3,286   ; 10,917,915   ; 13.8   ; 3,323   
62 ;Obras Civiles; 6   ; 1,124,523   ; 1.4   ; 187,420   
63 ;Viviendas y Comunidades de Viviendas; 8,064   ; 33,168,269   ; 49.7   ; 4,113   
63 ;Oficinas; 53   ; 689,171   ; 1.0   ; 13,003   
63 ;Comercios ; 1,024   ; 21,731,445   ; 32.6   ; 21,222   
63 ;Industriales; 163   ; 2,553,047   ; 3.9   ; 15,663   
63 ;Vehículos Automóviles; 2,813   ; 7,533,451   ; 11.3   ; 2,678   
63 ;Obras Civiles; 6   ; 996,730   ; 1.5   ; 166,122   
64 ;Viviendas y Comunidades de Viviendas; 49,036   ; 35,126,982   ; 48.7   ; 716   
64 ;Oficinas; 147   ; 256,101   ; 0.4   ; 1,742   
64 ;Comercios ; 2,673   ; 3,533,620   ; 4.9   ; 1,322   
64 ;Industriales; 4,455   ; 31,851,706   ; 44.3   ; 7,150   
64 ;Vehículos Automóviles; 1,042   ; 1,073,375   ; 1.5   ; 1,030   
64 ;Obras Civiles; 8   ; 131,773   ; 0.2   ; 16,472   
65 ;Daños personales; 1   ; 13,635   ; 0.1   ; 13,635   
65 ;Viviendas y Comunidades de Viviendas; 13,522   ; 9,968,890   ; 43.9   ; 737   
65 ;Oficinas; 35   ; 49,661   ; 0.2   ; 1,419   
65 ;Comercios ; 721   ; 5,149,138   ; 22.7   ; 7,142   
65 ;Industriales; 1,361   ; 7,125,081   ; 31.4   ; 5,235   
65 ;Vehículos Automóviles; 329   ; 377,107   ; 1.7   ; 1,146   
65 ;Obras Civiles; 2   ; 6,704   ; 0.0   ; 3,352   
66 ;Daños personales;5 ; 384,070   ; 1.0   ; 76,814   
66 ;Viviendas y Comunidades de Viviendas; 2,408   ; 14,414,027   ; 36.0   ; 5,986   
66 ;Oficinas; 38   ; 340,347   ; 0.8   ; 8,957   
66 ;Comercios ; 753   ; 12,368,328   ; 30.8   ; 16,425   
66 ;Industriales; 98   ; 5,034,571   ; 12.6   ; 51,373   
66 ;Vehículos Automóviles; 1,839   ; 7,059,000   ; 17.6   ; 3,838   
66 ;Obras Civiles; 3   ; 491,950   ; 1.2   ; 163,983   
67 ;Daños personales; 1   ; 275,978   ; 0.6   ; 275,978   
67 ;Viviendas y Comunidades de Viviendas; 4,186   ; 16,625,360   ; 35.7   ; 3,972   
67 ;Oficinas; 30   ; 94,962   ; 0.2   ; 3,165   
67 ;Comercios ; 840   ; 9,271,383   ; 19.9   ; 11,037   
67 ;Industriales; 130   ; 2,819,583   ; 6.2   ; 21,689   
67 ;Vehículos Automóviles; 2,111   ; 6,008,423   ; 12.9   ; 2,846   
67 ;Obras Civiles; 6   ; 11,417,390   ; 24.5   ; 1,902,898   
68 ;Daños personales; 6   ; 115,133   ; 0.3   ; 19,189   
68 ;Viviendas y Comunidades de Viviendas; 3,989   ; 14,222,565   ; 42.9   ; 3,565   
68 ;Oficinas; 37   ; 283,703   ; 0.9   ; 7,668   
68 ;Comercios ; 753   ; 7,565,297   ; 22.8   ; 10,047   
68 ;Industriales; 113   ; 4,978,436   ; 15.0   ; 44,057   
68 ;Vehículos Automóviles; 1,604   ; 4,152,862   ; 12.5   ; 2,589   
68 ;Obras Civiles; 3   ; 1,842,637   ; 5.6   ; 614,212   
69 ;Daños personales; 3   ; 143,345   ; 0.6   ; 47,782   
69 ;Viviendas y Comunidades de Viviendas; 2,396   ; 11,014,768   ; 47.3   ; 4,597   
69 ;Oficinas; 16   ; 78,681   ; 0.3   ; 4,918   
69 ;Comercios ; 341   ; 4,059,802   ; 17.5   ; 11,906   
69 ;Industriales; 78   ; 2,899,854   ; 12.5   ; 37,178   
69 ;Vehículos Automóviles; 360   ; 992,786   ; 4.3   ; 2,758   
69 ;Obras Civiles; 5   ; 4,065,243   ; 17.5   ; 813,049   
70 ;Viviendas y Comunidades de Viviendas; 964   ; 10,762,384   ; 42.6   ; 11,164   
70 ;Oficinas; 15   ; 312,346   ; 1.2   ; 20,823   
70 ;Comercios ; 224   ; 7,952,371   ; 31.5   ; 35,502   
70 ;Industriales; 34   ; 964,211   ; 3.8   ; 28,359   
70 ;Vehículos Automóviles; 656   ; 2,709,276   ; 10.7   ; 4,130   
70 ;Obras Civiles; 7   ; 2,578,915   ; 10.2   ; 368,416   
71 ;Daños personales; 5   ; 130,345   ; 0.0   ; 26,069   
71 ;Viviendas y Comunidades de Viviendas; 33,152   ; 212,406,899   ; 47.2   ; 6,407   
71 ;Oficinas; 327   ; 3,570,021   ; 0.8   ; 10,917   
71 ;Comercios ; 4,721   ; 96,217,551   ; 21.4   ; 20,381   
71 ;Industriales; 1,050   ; 49,996,251   ; 11.1   ; 47,615   
71 ;Vehículos Automóviles; 17,030   ; 76,914,970   ; 17.1   ; 4,516   
71 ;Obras Civiles; 30   ; 10,646,196   ; 2.4   ; 354,873   
72 ;Viviendas y Comunidades de Viviendas; 2,841   ; 13,755,925   ; 32.9   ; 4,842   
72 ;Oficinas; 69   ; 430,505   ; 1.0   ; 6,239   
72 ;Comercios ; 821   ; 8,900,541   ; 21.3   ; 10,841   
72 ;Industriales; 119   ; 9,006,960   ; 21.6   ; 75,689   
72 ;Vehículos Automóviles; 1,212   ; 4,288,592   ; 10.3   ; 3,538   
72 ;Obras Civiles; 29   ; 5,375,291   ; 12.9   ; 185,355   
73 ;Viviendas y Comunidades de Viviendas; 32,144   ; 35,158,048   ; 51.2   ; 1,094   
73 ;Oficinas; 81   ; 527,328   ; 0.8   ; 6,510   
73 ;Comercios ; 1,601   ; 7,495,276   ; 10.9   ; 4,682   
73 ;Industriales; 2,785   ; 21,279,806   ; 31.0   ; 7,641   
73 ;Vehículos Automóviles; 1,347   ; 3,408,676   ; 5.0   ; 2,531   
73 ;Obras Civiles; 7   ; 727,720   ; 1.1   ; 103,960   
74 ;Daños personales; 7   ; 141,998   ; 0.1   ; 20,285   
