ID; PROVINCIA;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
tempestad; MELILLA; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
tempestad; DIVERSAS*; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
terremoto; ARABA/ÁLAVA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
terremoto; ALBACETE; -   ; -   ;1; -   ; -   ;41; -   ; -   ;2; -   ; -   ;12; -   ;11; -   ; -   ; -   ;8; -   ; -   ; -   ;113; -   ;74; -   ; -   ; -   
terremoto; ALACANT/ALICANTE;2;4;4; -   ;8;133;3;2; -   ;12;1;1;7;15;215;11; -   ;39;2; -   ; -   ; -   ; -   ; -   ;1;1;1
terremoto; ALMERÍA;361;10;9;7;4;6; -   ;6;34;2;10;4; -   ;1;22; -   ;6;83; -   ; -   ; -   ; -   ;2; -   ; -   ; -   ; -   
terremoto; ÁVILA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
terremoto; BADAJOZ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;2;14;2; -   ;17;1; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
terremoto; ILLES BALEARS;2; -   ;1; -   ; -   ; -   ; -   ; -   ; -   ;23; -   ; -   ; -   ; -   ; -   ; -   ;16; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
terremoto; BARCELONA;2;17;25; -   ; -   ;1; -   ; -   ; -   ; -   ; -   ; -   ;1;2; -   ; -   ;1; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
